t,y_observed
0.0,0.6490142459033698
0.10101010101010101,0.37759374771582493
0.20202020202020202,0.5122210527429502
0.30303030303030304,0.6543519965414819
0.40404040404040403,-0.010901828624372223
0.5050505050505051,-0.16424850995835924
0.6060606060606061,0.21411045491032615
0.7070707070707071,-0.20394995431024326
0.8080808080808081,-0.7547092207183981
0.9090909090909091,-0.632074200504382
1.0101010101010102,-1.1122758067029967
1.1111111111111112,-1.285132838060119
1.2121212121212122,-1.2353988660848387
1.3131313131313131,-2.0320841621888457
1.4141414141414141,-2.110949688466663
1.5151515151515151,-1.881208955256037
1.6161616161616161,-2.1182630026792726
1.7171717171717171,-1.8048324760450003
1.8181818181818181,-2.239760994678321
1.9191919191919191,-2.4443592449906126
2.0202020202020203,-1.6215660564843326
2.121212121212121,-2.1596802992668147
2.2222222222222223,-2.0957726828006717
2.323232323232323,-2.5645872065570496
2.4242424242424243,-2.322502104028787
2.525252525252525,-2.1527047639559855
2.6262626262626263,-2.5665876523741584
2.727272727272727,-2.155853659112112
2.8282828282828283,-2.511004528473645
2.929292929292929,-2.497986582040553
3.0303030303030303,-2.6898313346027436
3.131313131313131,-2.072651538444629
3.2323232323232323,-2.771763717734874
3.3333333333333335,-3.2441331493572614
3.4343434343434343,-2.8574385687895174
3.5353535353535355,-3.6639040999609134
3.6363636363636362,-3.4416172252523416
3.7373737373737375,-4.3085168298494905
3.8383838383838382,-4.341223768576439
3.9393939393939394,-4.1074841688046835
4.040404040404041,-4.166083516512219
4.141414141414141,-4.550327097669269
4.242424242424242,-4.8395164922691105
4.343434343434343,-5.083515256303339
4.444444444444445,-5.607203678635137
4.545454545454545,-5.529628233372749
4.646464646464646,-5.57966488565328
4.747474747474747,-5.228922940887007
4.848484848484849,-5.524217323042279
4.94949494949495,-6.214839971787721
5.05050505050505,-5.62626243600757
5.151515151515151,-5.857825469551025
5.252525252525253,-5.94843742297097
5.353535353535354,-5.552714638859039
5.454545454545454,-5.409537231217196
5.555555555555555,-5.418061999541467
5.656565656565657,-5.928130574896693
5.757575757575758,-5.752604979428835
5.858585858585858,-5.552501184969595
5.959595959595959,-5.363429898652987
6.0606060606060606,-5.819310909608431
6.161616161616162,-5.768401224403548
6.262626262626262,-6.101116648479358
6.363636363636363,-6.204847481620975
6.4646464646464645,-5.699316951895629
6.565656565656566,-5.652855923302075
6.666666666666667,-6.216013477307359
6.767676767676767,-6.043820269916536
6.8686868686868685,-6.399796888922811
6.96969696969697,-6.874836894842238
7.070707070707071,-6.751829943490322
7.171717171717171,-6.579866077392842
7.2727272727272725,-7.231261848133716
7.373737373737374,-6.924839509283966
7.474747474747475,-8.344931661376233
7.575757575757575,-7.465291647309887
7.6767676767676765,-7.824274552335606
7.777777777777778,-8.062554819759098
7.878787878787879,-8.050736719987748
7.979797979797979,-8.762693584551789
8.080808080808081,-8.303820258031914
8.181818181818182,-8.186980919202014
8.282828282828282,-7.8937182103897
8.383838383838384,-8.525016601444122
8.484848484848484,-8.637224518932353
8.585858585858587,-8.56662833811974
8.686868686868687,-8.163007776588609
8.787878787878787,-8.364516360243583
8.88888888888889,-8.655353405366899
8.98989898989899,-8.387022797548772
9.09090909090909,-8.570863368017498
9.191919191919192,-8.385347884525833
9.292929292929292,-8.981388693602458
9.393939393939394,-8.983938649964827
9.494949494949495,-9.1385320964524
9.595959595959595,-9.615136173381876
9.696969696969697,-9.261063177972705
9.797979797979798,-9.461975073006075
9.8989898989899,-9.742964903399777
10.0,-10.029541442372658
